user_id,item_id,score
1,13,0.0
1,9,0.0
1,8,1.0
1,20,1.0
1,17,0.0
1,7,1.0
1,19,1.0
1,1,0.0
1,6,0.0
1,4,1.0
1,12,1.0
1,10,1.0
1,3,0.0
1,5,0.0
2,20,1.0
2,16,1.0
2,1,0.0
2,12,1.0
2,17,1.0
2,13,1.0
2,18,1.0
2,2,1.0
2,5,0.0
2,10,1.0
2,7,1.0
2,6,1.0
2,3,1.0
2,4,1.0
3,16,1.0
3,5,0.0
3,8,1.0
3,15,1.0
3,11,0.0
3,20,0.0
3,3,1.0
3,12,0.0
3,1,0.0
3,9,0.0
3,18,0.0
3,2,1.0
3,7,1.0
3,17,0.0
4,12,1.0
4,5,1.0
4,6,1.0
4,15,0.0
4,18,1.0
4,9,0.0
4,17,0.0
4,7,0.0
4,2,1.0
4,8,1.0
4,20,1.0
4,16,1.0
4,11,1.0
4,3,1.0
5,4,1.0
5,18,0.0
5,10,0.0
5,11,0.0
5,13,0.0
5,20,0.0
5,7,0.0
5,1,0.0
5,14,0.0
5,9,0.0
5,5,0.0
5,16,0.0
5,6,1.0
5,15,0.0
6,3,0.0
6,6,1.0
6,18,0.0
6,2,0.0
6,8,1.0
6,1,0.0
6,13,0.0
6,15,0.0
6,16,0.0
6,9,1.0
6,12,0.0
6,19,0.0
6,5,0.0
6,10,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,17,0.0
7,7,0.0
7,12,0.0
7,11,0.0
7,6,0.0
7,18,0.0
7,14,0.0
7,10,0.0
7,19,0.0
7,9,1.0
8,12,0.0
8,15,0.0
8,13,0.0
8,9,0.0
8,16,0.0
8,19,0.0
8,14,0.0
8,20,0.0
8,10,0.0
8,5,0.0
8,3,0.0
8,18,0.0
8,7,0.0
8,4,1.0
9,11,0.0
9,15,0.0
9,1,0.0
9,17,0.0
9,20,0.0
9,2,0.0
9,5,0.0
9,12,1.0
9,7,0.0
9,13,0.0
9,18,0.0
9,19,0.0
9,6,0.0
9,9,1.0
10,19,0.0
10,9,1.0
10,20,0.0
10,1,0.0
10,11,0.0
10,8,1.0
10,2,0.0
10,10,0.0
10,16,0.0
10,3,0.0
10,13,0.0
10,18,0.0
10,14,0.0
10,7,0.0
11,11,0.0
11,5,1.0
11,10,0.0
11,2,1.0
11,7,1.0
11,4,0.0
11,8,1.0
11,14,1.0
11,3,1.0
11,17,0.0
11,15,1.0
11,6,1.0
11,12,1.0
11,16,1.0
12,5,1.0
12,8,1.0
12,2,1.0
12,6,1.0
12,14,0.0
12,20,0.0
12,10,1.0
12,7,0.0
12,1,1.0
12,15,1.0
12,17,0.0
12,16,1.0
12,19,0.0
12,3,1.0
13,16,0.0
13,19,0.0
13,5,1.0
13,8,1.0
13,15,0.0
13,1,1.0
13,20,1.0
13,10,0.0
13,6,1.0
13,17,0.0
13,12,1.0
13,2,0.0
13,9,0.0
13,4,0.0
14,12,1.0
14,16,0.0
14,2,0.0
14,19,0.0
14,13,0.0
14,1,0.0
14,6,0.0
14,20,0.0
14,3,0.0
14,9,0.0
14,10,0.0
14,17,0.0
14,7,0.0
14,4,1.0
15,8,0.0
15,16,0.0
15,6,1.0
15,11,0.0
15,1,0.0
15,13,0.0
15,10,0.0
15,14,1.0
15,4,0.0
15,15,0.0
15,7,0.0
15,3,0.0
15,20,0.0
15,18,0.0
16,3,0.0
16,12,1.0
16,7,0.0
16,13,0.0
16,17,0.0
16,20,1.0
16,14,1.0
16,9,0.0
16,6,1.0
16,1,0.0
16,2,0.0
16,8,0.0
16,19,0.0
16,15,0.0
17,14,0.0
17,5,0.0
17,10,0.0
17,1,0.0
17,17,0.0
17,9,0.0
17,7,0.0
17,8,1.0
17,2,1.0
17,20,0.0
17,11,0.0
17,12,0.0
17,6,1.0
17,4,1.0
18,18,0.0
18,4,0.0
18,3,0.0
18,19,0.0
18,1,0.0
18,11,0.0
18,17,0.0
18,5,1.0
18,14,0.0
18,15,0.0
18,20,0.0
18,12,1.0
18,13,0.0
18,8,0.0
19,12,1.0
19,14,1.0
19,16,0.0
19,8,0.0
19,3,0.0
19,4,0.0
19,1,0.0
19,19,0.0
19,20,0.0
19,18,0.0
19,10,0.0
19,2,0.0
19,7,0.0
19,15,0.0
20,13,0.0
20,15,0.0
20,19,0.0
20,10,0.0
20,1,0.0
20,6,0.0
20,20,0.0
20,5,0.0
20,18,0.0
20,4,0.0
20,3,0.0
20,16,0.0
20,17,0.0
20,9,0.0
21,15,0.0
21,12,1.0
21,6,1.0
21,11,1.0
21,3,1.0
21,1,1.0
21,18,1.0
21,2,1.0
21,5,1.0
21,17,1.0
21,8,1.0
21,19,1.0
21,10,0.0
21,14,1.0
22,7,0.0
22,1,1.0
22,2,1.0
22,16,1.0
22,13,0.0
22,17,0.0
22,3,1.0
22,8,1.0
22,10,1.0
22,9,0.0
22,12,1.0
22,11,1.0
22,20,1.0
22,4,1.0
23,10,1.0
23,17,1.0
23,16,1.0
23,14,1.0
23,7,1.0
23,19,1.0
23,1,1.0
23,12,1.0
23,11,1.0
23,5,1.0
23,9,1.0
23,15,1.0
23,6,1.0
23,20,1.0
24,17,1.0
24,1,0.0
24,8,0.0
24,5,0.0
24,10,1.0
24,18,1.0
24,2,0.0
24,15,0.0
24,9,0.0
24,16,1.0
24,19,0.0
24,3,0.0
24,20,1.0
24,13,0.0
25,1,1.0
25,8,1.0
25,3,1.0
25,20,0.0
25,19,0.0
25,18,0.0
25,6,1.0
25,10,1.0
